id,label,date,latitude,longitude,category,connections,description,imageUrl
M01,Giacomo Medici,1967,41.90,12.50,Dealer,M02;M03;M04;M05;M06;M07;M08;M11;M12;M24,Italian antiquities dealer active from the 1960s. Convicted in 2005 of receiving stolen goods and conspiracy to traffic. Central node in one of the largest illicit antiquities networks ever uncovered.,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0e/Roma_piazza_navona.jpg/800px-Roma_piazza_navona.jpg
M02,Robert Hecht,1967,40.71,-74.00,Dealer,M01;M09;M14;M17,US-based antiquities dealer who purchased material from Medici from 1967 onward. Believed to have acquired the Euphronios krater from Medici in 1971 and sold it to the Metropolitan Museum.,https://upload.wikimedia.org/wikipedia/commons/thumb/3/30/Metropolitan_Museum_of_Art_%28The_Met%29_-_Central_Park%2C_NYC.jpg/800px-Metropolitan_Museum_of_Art_%28The_Met%29_-_Central_Park%2C_NYC.jpg
M03,Christian Boursaud,1978,46.20,6.14,Dealer,M01;M10;M12,Geneva-based partner of Medici from 1978. Consigned Medici's material to Sotheby's London and co-founded the Hydra Gallery in 1983. Partnership dissolved in 1986.,https://upload.wikimedia.org/wikipedia/commons/thumb/2/28/Jet_d%27Eau_de_Gen%C3%A8ve.jpg/800px-Jet_d%27Eau_de_Gen%C3%A8ve.jpg
M04,Robin Symes,1988,51.51,-0.13,Dealer,M01,London-based antiquities dealer who developed commercial relations with Medici by the late 1980s.,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cd/London_Montage_L.jpg/800px-London_Montage_L.jpg
M05,Frieda Tchacos,1988,47.37,8.54,Dealer,M01,Dealer with commercial relations with Medici by the late 1980s. Part of the network identified through the Freeport evidence.,https://upload.wikimedia.org/wikipedia/commons/thumb/a/af/Zurich_Fraumunster_Grossmunster.jpg/800px-Zurich_Fraumunster_Grossmunster.jpg
M06,Nikolas Koutoulakis,1988,48.86,2.35,Dealer,M01,Paris-based antiquities dealer connected to Medici's supply network by the late 1980s.,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a8/Tour_Eiffel_Wikimedia_Commons.jpg/800px-Tour_Eiffel_Wikimedia_Commons.jpg
M07,Ali Aboutaam,1988,46.20,6.14,Dealer,M01;M08,Geneva-based dealer and brother of Hicham Aboutaam. Developed commercial relations with Medici by the late 1980s.,https://upload.wikimedia.org/wikipedia/commons/thumb/2/28/Jet_d%27Eau_de_Gen%C3%A8ve.jpg/800px-Jet_d%27Eau_de_Gen%C3%A8ve.jpg
M08,Hicham Aboutaam,1988,40.71,-74.00,Dealer,M01;M07,New York-based dealer and brother of Ali Aboutaam. Part of Medici's downstream distribution network.,https://upload.wikimedia.org/wikipedia/commons/thumb/0/05/Southwest_corner_of_Central_Park%2C_looking_east%2C_NYC.jpg/800px-Southwest_corner_of_Central_Park%2C_looking_east%2C_NYC.jpg
M09,Marion True,1985,34.01,-118.50,Curator,M02;M13,Former antiquities curator at the J. Paul Getty Museum. Her prosecution was triggered by evidence recovered during the Medici investigation.,https://upload.wikimedia.org/wikipedia/commons/thumb/4/42/J._Paul_Getty_Museum.jpg/800px-J._Paul_Getty_Museum.jpg
M10,Sotheby's London,1978,51.53,-0.14,Auction House,M03;M11;M21,Throughout the 1980s Medici was the source of more consignments to Sotheby's London than any other vendor. Material delivered from Geneva by courier.,https://upload.wikimedia.org/wikipedia/commons/thumb/3/33/Sothebys_front.JPG/800px-Sothebys_front.JPG
M11,Editions Services,1986,46.20,6.14,Front Company,M01;M10;M21,Geneva-based company purchased by Medici in 1986 to continue consigning material to Sotheby's after his split with Boursaud.,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/Geneva-Freeport-20091011.jpg/800px-Geneva-Freeport-20091011.jpg
M12,Hydra Gallery,1983,46.20,6.14,Gallery,M01;M03;M13;M18,Gallery opened in Geneva in 1983 by Medici and Boursaud. Sold the Onesimos kylix fragments to the Getty in 1985 using a false provenance.,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/Geneva-Freeport-20091011.jpg/800px-Geneva-Freeport-20091011.jpg
M13,J. Paul Getty Museum,1985,34.01,-118.50,Museum,M09;M12;M18,Purchased the Onesimos kylix from Hydra Gallery in 1985 for $100000. Returned the kylix to Italy in 1999 and later the Aphrodite of Morgantina.,https://upload.wikimedia.org/wikipedia/commons/thumb/4/42/J._Paul_Getty_Museum.jpg/800px-J._Paul_Getty_Museum.jpg
M14,Metropolitan Museum of Art,1972,40.78,-73.96,Museum,M02;M17,Acquired the Euphronios krater in 1972 via Hecht. The krater was displayed for over 30 years before being returned to Italy in 2008.,https://upload.wikimedia.org/wikipedia/commons/thumb/3/30/Metropolitan_Museum_of_Art_%28The_Met%29_-_Central_Park%2C_NYC.jpg/800px-Metropolitan_Museum_of_Art_%28The_Met%29_-_Central_Park%2C_NYC.jpg
M15,Cleveland Museum of Art,1990,41.51,-81.61,Museum,M01,Among the museums found to have acquired material ultimately sourced from Medici's network.,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d2/Cleveland_Museum_of_Art_%2823380172750%29.jpg/800px-Cleveland_Museum_of_Art_%2823380172750%29.jpg
M16,Boston Museum of Fine Arts,1990,42.34,-71.09,Museum,M01,Among the museums found to have acquired material ultimately sourced from Medici's network.,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bb/Museum_of_Fine_Arts_Boston.jpg/800px-Museum_of_Fine_Arts_Boston.jpg
M17,Euphronios Krater,1971,42.00,12.10,Object,M01;M02;M14,Illegally excavated near Cerveteri c.1971. Believed purchased by Medici from tombaroli then sold to Hecht then to the Met for $1 million. Returned to Italy 2008.,https://upload.wikimedia.org/wikipedia/commons/thumb/f/ff/Euphronios_krater%2C_side_A.jpg/800px-Euphronios_krater%2C_side_A.jpg
M18,Onesimos Kylix,1985,34.01,-118.50,Object,M12;M13,Fragments sold by Hydra Gallery to the Getty in 1985 for $100000 with a false provenance citing the fictitious Zbinden collection. Returned to Italy 1999.,https://upload.wikimedia.org/wikipedia/commons/thumb/4/42/J._Paul_Getty_Museum.jpg/800px-J._Paul_Getty_Museum.jpg
M19,Geneva Freeport,1995,46.21,6.13,Location,M01;M20,Medici's five-room storage space raided 13 September 1995. Found to contain 3800 artefacts and over 4000 Polaroid photographs documenting looted objects.,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/Geneva-Freeport-20091011.jpg/800px-Geneva-Freeport-20091011.jpg
M20,Carabinieri TPC,1995,41.90,12.50,Law Enforcement,M19;M21;M01,Italy's cultural property protection unit. Coordinated with Swiss police on the 1995 Freeport raid. Recovered the organigram and thousands of Polaroids.,https://upload.wikimedia.org/wikipedia/commons/thumb/d/da/CoA_Arma_dei_Carabinieri.svg/800px-CoA_Arma_dei_Carabinieri.svg.png
M21,San Saba Sarcophagus,1995,41.88,12.49,Object,M11;M10;M20,Sarcophagus stolen from the church of San Saba in Rome. Recognized in a 1995 Sotheby's catalogue consigned by Editions Services. Triggered the Medici investigation.,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Basilica_di_San_Saba_-_panoramio.jpg/800px-Basilica_di_San_Saba_-_panoramio.jpg
M22,Shelby White & Leon Levy,1988,40.71,-74.00,Collector,M01,New York-based private collectors identified as recipients of material ultimately sourced from Medici.,https://upload.wikimedia.org/wikipedia/commons/thumb/0/05/Southwest_corner_of_Central_Park%2C_looking_east%2C_NYC.jpg/800px-Southwest_corner_of_Central_Park%2C_looking_east%2C_NYC.jpg
M23,Fleischman Collection,1988,34.05,-118.24,Collector,M01,Lawrence and Barbara Fleischman were private collectors identified as recipients of material ultimately sourced from Medici.,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d9/Griffith_Observatory_-_Dusk.jpg/800px-Griffith_Observatory_-_Dusk.jpg
